artifact_name,transitions,image_link
Le roi Assurbanipal sur son char et prisonniers Г©lamites. Episodes de la campagne d'Elam,"{1855: {'lat': 48.8606111, 'lng': 2.337644}}{}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-roi-assurbanipal-sur-son.jpg?1527822035
Massacres of the Triumvirate,"{1939: {'lat': 48.8606111, 'lng': 2.337644}}{1566: Beauvais}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-les-massacres-triumvirat.jpg?1527831534
"Napoleon on the Battlefield at Eylau, February 9, 1807","{5067: {'lat': 48.8606111, 'lng': 2.337644}}{February 9, 1807
1808: the Battlefield at Eylau}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-napoleon-sur-champ-bataille.jpg?1527831577
Battle of Zama,"{5394: {'lat': 48.8606111, 'lng': 2.337644}}{1546: 1499 - Mantua}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-bataille-zama.jpg?1527827781
Tapestry set of The History of the King: The Audience with Cardinal Chigi,"{}{1665-1672: Paris}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-l039audience-legat.jpg?1527827755
"L'ApothГ©ose d'Henri IV et la proclamation de la rГ©gence de la reine, le 14 mai 1610","{1779: {'lat': 48.8606111, 'lng': 2.337644}}{1640: L'ApothГ}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-l039apotheose-d039henri-proclamation-regence.jpg?1527819586
"The Barricade, Rue de la Mortellerie, June 1848,<br>also known as Remembrance of Civil War","{1953: {'lat': 48.8606111, 'lng': 2.337644}}{1850-1851: Remembrance of Civil War
Salon}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-barricade-rue-mortellerie-juin.jpg?1527830621
"Reliefs provenant de la ""Belle CheminГ©e"" du chГўteau de Fontainebleau","{}{}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-reliefs-provenant-quotbelle-chemineequot.jpg?1527817134
La Bataille de San Romano : la contre-attaque de Micheletto da Cotignola.,"{1863: {'lat': 48.8606111, 'lng': 2.337644}}{1475: Florence}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-bataille-san-romano-contre.jpg?1527821318
"The Coronation of the Emperor Napoleon I and the Crowning of the Empress JosГ©phine in Notre-Dame Cathedral on December 2, 1804","{}{1806-07: Notre-Dame Cathedral}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-sacre-de-l-empereur-napoleon-ier-et-couronnement-de-l-imperatrice-josephine-dans-la-cathedrale-notre_1.jpg?1527830789
The Intervention of the Sabine Women,"{1819: {'lat': 48.8606111, 'lng': 2.337644}}{1825: Paris}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-les-sabines.jpg?1527831717
La Messe de fondation de l'ordre des Trinitaires,"{1964: {'lat': 48.8606111, 'lng': 2.337644}}{}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-messe-fondation-l039ordre-des.jpg?1527819226
The Oath of the Horatii,"{}{1784: Horatii}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-serment-des-horaces.jpg?1527831093
Le Radeau de la MГ©duse,"{1824: {'lat': 48.8606111, 'lng': 2.337644}}{}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-radeau-meduse.jpg?1527819819
Carriage on the Beach at Scheveningen,"{1784: {'lat': 48.8606111, 'lng': 2.337644}}{1660: the Beach at Scheveningen}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-noble-equipage-cheminant-sur.jpg?1527830165
